Time (UTC),Time (UTC+7),t_sec,Plane,SatInPlane,SatID,RAAN(deg),M0(deg),Azimuth (deg),Elevation (deg),Slant Range (m),Sat Lat (deg),Sat Lon (deg),Sat Alt (m)
2024-10-21 16:44:50.000,2024-10-21 23:44:50.000,60290,4,1,P04-S01,288.0,162.0,208.95111475027727,22.38398999660752,1300918.8597731018,10.062618125489523,94.09786158775185,600647.9207885601
2024-10-21 16:45:00.000,2024-10-21 23:45:00.000,60300,2,0,P02-S00,144.0,36.0,144.50949358074118,0.7686203253375508,2740520.039645569,-0.4258464012881608,112.13729957370471,600001.1720999368
2024-10-21 16:45:00.000,2024-10-21 23:45:00.000,60300,4,1,P04-S01,288.0,162.0,205.7408618610056,22.93158729148246,1281505.495121393,9.989603419816033,94.68182003580527,600638.6451886361
2024-10-21 16:45:10.000,2024-10-21 23:45:10.000,60310,2,0,P02-S00,144.0,36.0,143.13801256636026,0.5548321061316751,2763782.7553110668,-0.2960878630711697,112.70254006786563,600000.5666356897
2024-10-21 16:45:10.000,2024-10-21 23:45:10.000,60310,4,1,P04-S01,288.0,162.0,202.41524003161166,23.399134964628132,1265361.3353018556,9.91542136279407,95.26549874648505,600629.2877164707
2024-10-21 16:45:20.000,2024-10-21 23:45:20.000,60320,2,0,P02-S00,144.0,36.0,141.79014040991328,0.33099178395846274,2788351.4528688374,-0.166296055270622,113.26776652544183,600000.1787430616
2024-10-21 16:45:20.000,2024-10-21 23:45:20.000,60320,4,1,P04-S01,288.0,162.0,198.99086717282398,23.776360227260152,1252614.3733788002,9.840081300154777,95.84889558171533,600619.8527617007
2024-10-21 16:45:30.000,2024-10-21 23:45:30.000,60330,2,0,P02-S00,144.0,36.0,140.4664560730342,0.09769360596683051,2814189.6458987035,-0.03648556223665804,113.83298509806899,600000.0086041614
2024-10-21 16:45:30.000,2024-10-21 23:45:30.000,60330,4,1,P04-S01,288.0,162.0,195.48811855909125,24.054374790582592,1243370.3183686165,9.763592707489511,96.43200854162251,600610.3447503559
2024-10-21 16:45:40.000,2024-10-21 23:45:40.000,60340,4,1,P04-S01,288.0,162.0,191.93059872880485,24.22626712449856,1237708.5105604301,9.685965188463296,97.01483576512913,600600.7681427905
